筋,すじ/キン muscle
年,とし/ネン year
繰,く∙る/ソウ winding
湿,しめ∙る/シツ damp
為,ため/イ do
熙,たのし∙む/キ bright
練,ね∙る/レン practice
拐,カイ kidnap
未,いま∙だ/ミ un-
棟,むね/トウ ridgepole
刃,は/ジン blade
漸,ようや∙く/ゼン steadily
顧,かえり∙みる/コ look back
送,おく∙る/ソウ escort
蓉,ヨウ lotus
冥,くら∙い/メイ dark
幕,とばり/マク curtain
市,いち/シ market
工,コウ craft
片,かた-/ヘン one-sided
術,すべ/ジュツ art
殖,ふ∙える/ショク augment
銅,あかがね/ドウ copper
儲,もう∙ける/チョ be profitable
奮,ふる∙う/フン stirred up
闇,やみ/アン get dark
面,おも/メン mask
惧,おそ∙れる/ク fear
喉,のど/コウ throat
並,な∙み/ヘイ row
語,かた∙る/ゴ word
甲,きのえ/コウ armor
迫,せま∙る/ハク urge
刺,さ∙す/シ thorn
静,しず-/セイ quiet
腔,コウ body cavity
巌,いわ/ガン rock
漆,うるし/シツ lacquer
鍋,なべ/カ pot
耕,たがや∙す/コウ till
衛,エイ defense
泉,いずみ/セン spring
淫,ひた∙す/イン lewdness
唆,そそ∙る/サ tempt
塚,つか/チョウ hillock
尼,あま/ニ nun
区,ク ward
聖,ひじり/セイ holy
壁,かべ/ヘキ wall
永,なが∙い/エイ eternity
執,と∙る/シツ tenacious
内,うち/ナイ inside
諺,ことわざ/ゲン proverb
斬,き∙る/ザン beheading
道,みち/ドウ road-way
漕,こ∙ぐ/ソウ rowing
朱,あけ/シュ vermilion
萩,はぎ/シュウ bush clover
等,ひと∙しい/トウ etc.
坐,すわ∙る/ザ sit
拡,ひろ∙がる/カク broaden
捷,はや∙い/ショウ victory
戴,いただ∙く/タイ be crowned with
稼,かせ∙ぐ/カ earnings
臆,むね/オク timidity
堅,かた∙い/ケン strict
研,と∙ぐ/ケン polish
晩,バン nightfall
鳥,とり/チョウ bird
訳,わけ/ヤク translate
詣,けい∙する/ケイ visit a temple
噴,ふ∙く/フン erupt
卑,いや∙しい/ヒ lowly
惑,まど∙う/ワク beguile
指,ゆび/シ finger
航,コウ navigate
註,チュウ notes
俣,また crotch
麿,まろ I
徠,きた∙す/ライ induce
神,かみ/シン gods
机,つくえ/キ desk
握,にぎ∙る/アク grip
剰,あまつさえ/ジョウ surplus
捜,さが∙す/ソウ search
錯,サク confused
負,ま∙ける/フ defeat
方,かた/ホウ direction
弦,つる/ゲン bowstring
学,まな∙ぶ/ガク study
部,-べ/ブ section
喝,カツ hoarse
晃,あきらか/コウ clear
凹,くぼ∙む/オウ concave
貸,か∙す/タイ lend
普,あまね∙く/フ universal
脂,あぶら/シ fat
祿,さいわ∙い/ロク fief
広,ひろ∙い/コウ wide
碓,たし∙か/カク pestle
凪,なぎ lull
憂,うれ∙える/ユウ melancholy
快,こころよ∙い/カイ cheerful
楼,たかどの/ロウ watchtower
了,リョウ complete
架,か∙ける/カ erect
地,チ ground
竪,たて/ジュ length
魔,マ witch
女,おんな/ジョ woman
昊,そら/コウ sky
招,まね∙く/ショウ beckon
固,かた∙める/コ harden
図,え/ズ map
楊,かわ/ヨウ willow
遁,のが∙れる/トン flee
止,と∙まる/シ stop
恐,おそ∙れる/キョウ fear
脊,せ/セキ stature
彰,ショウ patent
薪,たきぎ/シン fuel
寵,めぐ∙み/チョウ affection
菌,キン germ
琴,こと/キン harp
頓,にわか∙に/トン suddenly
昨,サク yesterday
渥,あつ∙い/アク kindness
揃,そろ∙える/セン be complete
獣,けもの/ジュウ animal
速,はや∙い/ソク quick
讃,ほ∙める/サン praise
誠,まこと/セイ sincerity
促,うなが∙す/ソク stimulate
火,ひ/カ fire
朽,く∙ちる/キュウ decay
鋭,するど∙い/エイ pointed
貯,た∙める/チョ savings
霞,かすみ/カ be hazy
璃,リ glassy
堀,ほり/クツ ditch
椎,つち/ツイ chinquapin
柳,やなぎ/リュウ willow
惨,みじ∙め/サン wretched
宋,ソウ dwell
傍,かたわ∙ら/ボウ bystander
曜,ヨウ weekday
洵,の∙ぶ/ジュン alike
璽,ジ emperor's seal
迷,まよ∙う/メイ astray
箋,ふだ/セン paper
隊,タイ regiment
既,すで∙に/キ previously
例,たと∙える/レイ example
透,す∙く/トウ transparent
郷,さと/キョウ home town
曳,ひ∙く/エイ pull
出,で∙る/シュツ exit
鱗,うろこ/リン scales (fish)
汲,く∙む/キュウ draw (water)
春,はる/シュン springtime
祇,くにつかみ/ギ national or local god
恕,ゆる∙す/ジョ excuse
殊,こと/シュ particularly
潟,かた/セキ lagoon
巴,ともえ/ハ comma-design
熱,あつ∙い/ネツ heat
莞,い/カン smiling
隼,はやぶさ/シュン falcon
悌,テイ serving our elders
鯛,たい/チョウ sea bream
歓,よろこ∙ぶ/カン delight
因,よ∙る/イン cause
請,こ∙う/セイ solicit
昇,のぼ∙る/ショウ rise up
思,おも∙う/シ think
豹,ヒョウ leopard
勘,カン intuition
細,ほそ∙い/サイ dainty
膨,ふく∙らむ/ボウ swell
